product_id,sku,name,brand,model,version,category,gender,color,material,size,price,cost_price,discount_percent,stock_quantity,rating,review_count,is_active,is_featured,image_url,description
1001,CON-RUN-03-1001,Converse Run Star 3 Green,Converse,Run Star,3,Formal,Women,Green,Canvas,9.5,179.98,96.93,5,37,4.5,1107,False,False,https://assets.solemate.com/products/con-run-03-1001.jpg,"The Converse Run Star 3 in Green is a premium formal shoe made with canvas upper. Designed for women, it offers outstanding comfort and durability."
1002,UND-SPA-10-1002,Under Armour Spawn 10 Green,Under Armour,Spawn,10,Basketball,Women,Green,Knit,9.5,112.97,50.55,15,25,4.4,1767,True,False,https://assets.solemate.com/products/und-spa-10-1002.jpg,"The Under Armour Spawn 10 in Green is a premium basketball shoe made with knit upper. Designed for women, it offers outstanding comfort and durability."
1003,VAN-COM-09-1003,Vans ComfyCush 9 Navy,Vans,ComfyCush,9,Sandals,Men,Navy,Canvas,12,103.46,49.71,25,29,3.2,768,True,False,https://assets.solemate.com/products/van-com-09-1003.jpg,"The Vans ComfyCush 9 in Navy is a premium sandals shoe made with canvas upper. Designed for men, it offers outstanding comfort and durability."
1004,VAN-COM-08-1004,Vans ComfyCush 8 Green,Vans,ComfyCush,8,Boots,Unisex,Green,Suede,6,254.39,109.05,0,15,4.5,300,True,False,https://assets.solemate.com/products/van-com-08-1004.jpg,"The Vans ComfyCush 8 in Green is a premium boots shoe made with suede upper. Designed for unisex, it offers outstanding comfort and durability."
1005,PUM-RS--02-1005,Puma RS-X 2 Beige,Puma,RS-X,2,Boots,Kids,Beige,Canvas,10.5,279.7,145.82,20,13,4.4,64,True,True,https://assets.solemate.com/products/pum-rs--02-1005.jpg,"The Puma RS-X 2 in Beige is a premium boots shoe made with canvas upper. Designed for kids, it offers outstanding comfort and durability."
1006,UND-CHA-12-1006,Under Armour Charged Assert 12 Red,Under Armour,Charged Assert,12,Sandals,Women,Red,Synthetic,9,291.56,183.71,15,64,3.9,1463,True,False,https://assets.solemate.com/products/und-cha-12-1006.jpg,"The Under Armour Charged Assert 12 in Red is a premium sandals shoe made with synthetic upper. Designed for women, it offers outstanding comfort and durability."
1007,SKE-ULT-07-1007,Skechers Ultra Flex 7 Blue,Skechers,Ultra Flex,7,Basketball,Men,Blue,Synthetic,10.5,152.88,77.64,5,33,4.2,1531,True,True,https://assets.solemate.com/products/ske-ult-07-1007.jpg,"The Skechers Ultra Flex 7 in Blue is a premium basketball shoe made with synthetic upper. Designed for men, it offers outstanding comfort and durability."
1008,PUM-SUE-01-1008,Puma Suede 1 Black,Puma,Suede,1,Running,Unisex,Black,Suede,9,130.57,84.29,25,65,4.9,127,True,False,https://assets.solemate.com/products/pum-sue-01-1008.jpg,"The Puma Suede 1 in Black is a premium running shoe made with suede upper. Designed for unisex, it offers outstanding comfort and durability."
1009,UND-STR-06-1009,Under Armour Street Encounter 6 Red,Under Armour,Street Encounter,6,Running,Kids,Red,Rubber,10.5,287.47,157.98,25,89,4.4,772,True,True,https://assets.solemate.com/products/und-str-06-1009.jpg,"The Under Armour Street Encounter 6 in Red is a premium running shoe made with rubber upper. Designed for kids, it offers outstanding comfort and durability."
1010,NEW-574-11-1010,New Balance 574 11 White,New Balance,574,11,Sandals,Kids,White,Synthetic,12,245.39,154.14,20,20,3.7,2411,False,True,https://assets.solemate.com/products/new-574-11-1010.jpg,"The New Balance 574 11 in White is a premium sandals shoe made with synthetic upper. Designed for kids, it offers outstanding comfort and durability."
1011,NEW-FRE-12-1011,New Balance Fresh Foam 12 Grey,New Balance,Fresh Foam,12,Walking,Men,Grey,Mesh,7.5,256.68,112.78,10,39,3.6,420,True,False,https://assets.solemate.com/products/new-fre-12-1011.jpg,"The New Balance Fresh Foam 12 in Grey is a premium walking shoe made with mesh upper. Designed for men, it offers outstanding comfort and durability."
1012,CON-CHU-07-1012,Converse Chuck 70 7 Black,Converse,Chuck 70,7,Casual,Kids,Black,Knit,8,197.59,122.48,5,109,4.5,1886,False,True,https://assets.solemate.com/products/con-chu-07-1012.jpg,"The Converse Chuck 70 7 in Black is a premium casual shoe made with knit upper. Designed for kids, it offers outstanding comfort and durability."
